movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits
20180302,허리케인 하이스트,102,2017,20180314,장편,미국,범죄|액션,롭 코헨,토비 켑벨|매기 그레이스|라이언 콴튼|랄프 이네슨,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가
20178449,쓰리 빌보드,115,2017,20180315,장편,미국,드라마|코미디|범죄,마틴 맥도나,프란시스 맥도맨드,이십세기폭스코리아(주),15세이상관람가
20174603,퍼시픽 림: 업라이징,110,2018,20180321,장편,미국,SF|액션|어드벤처,스티븐 S. 드나이트,존 보예가|스콧 이스트우드,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가|15세이상관람가
20173962,소공녀,106,2017,20180322,장편,한국,드라마|멜로/로맨스,전고운,이솜|안재홍,CGV아트하우스,15세이상관람가
20181366,미니특공대X,67,2018,20180322,장편,한국,애니메이션,이영준,엄상현|전태열|이소영|신용우,(주)삼지애니메이션,전체관람가
20178522,콜 미 바이 유어 네임,131,2017,20180322,장편,미국|이탈리아|프랑스|브라질,멜로/로맨스|드라마,루카 구아다니노,티모시 샬라메|아미 해머,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,청소년관람불가
20154908,7년의 밤,123,2018,20180328,장편,한국,드라마|스릴러,추창민,장동건|류승룡|송새벽|고경표,씨제이이앤엠(주),15세이상관람가
20171122,레디 플레이어 원,139,2018,20180328,장편,미국,어드벤처|액션|SF,스티븐 스필버그,마크 라이런스|사이먼 페그|올리비아 쿡|타이 쉐리던|벤 멘델존|T.J. 밀러,워너브러더스 코리아(주),12세이상관람가|12세이상관람가
20180804,곤지암,94,2017,20180328,장편,한국,스릴러|공포(호러),정범식,위하준|박지현|오아연|문예원|박성훈|이승욱|유제윤,(주)쇼박스,15세이상관람가
20181621,막달라 마리아: 부활의 증인,119,2018,20180328,장편,영국,드라마,가스 데이비스,루니 마라|호아킨 피닉스,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가
20178424,레이디 버드,94,2017,20180404,장편,미국,드라마|코미디,그레타 거윅,시얼샤 로넌,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가
20153447,바람 바람 바람,100,2017,20180405,장편,한국,코미디,이병헌,이성민|신하균|송지효|이엘,(주)넥스트엔터테인먼트월드(NEW),청소년관람불가
20181561,덕구,91,2017,20180405,장편,한국,드라마,방수인,이순재|정지훈,메가박스중앙(주)플러스엠,전체관람가
20182021,번개맨과 신비의 섬,69,2017,20180405,장편,한국,뮤지컬|가족,김지열,서홍석|홍민아|유수호,(주)디스테이션|힘컨텐츠(주),전체관람가
20182922,문호 스트레이독스 [데드 애플],90,2018,20180405,장편,일본,액션|애니메이션|판타지,이가라시 타쿠야,우에무라 유토|미야노 마모루|오노 켄쇼|타니야마 키쇼,(주)애니플러스,12세이상관람가
20176917,램페이지,107,2018,20180412,장편,미국,액션,브래드 페이튼,드웨인 존슨|제프리 딘 모건|조 맹가니엘로,워너브러더스 코리아(주),12세이상관람가|12세이상관람가
20182352,"그날, 바다",110,2018,20180412,장편,한국,다큐멘터리,김지영,정우성,(주)엣나인필름,15세이상관람가
20165045,머니백,100,2016,20180412,장편,한국,드라마|액션,허준형,김무열|박희순|이경영|전광렬|임원희|오정세|김민교,(주)리틀빅픽쳐스,15세이상관람가
20181788,콰이어트 플레이스,90,2018,20180412,장편,미국,드라마|공포(호러)|스릴러,존 크랜신스키,에밀리 블런트|존 크래신스키,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가
20182221,스파키,91,2016,20180412,장편,한국,코미디|애니메이션|어드벤처,애론 우들리|아론 우들리,제이스 노먼,예지림엔터테인먼트,전체관람가
20182327,달링,118,2017,20180412,장편,영국,멜로/로맨스|드라마,앤디 서키스,앤드류 가필드|클레어 포이,(주)팝엔터테인먼트,12세이상관람가
20177266,나를 기억해,101,2018,20180419,장편,한국,스릴러|미스터리|범죄,이한욱,이유영|김희원,씨네그루(주)키다리이엔티,청소년관람불가
20182360,정글번치: 최강 악당의 등장,97,2017,20180419,장편,프랑스,애니메이션,다비드 알로,최원형|김민진|박재현|김하영|손윤상,(주)팝엔터테인먼트,전체관람가
20182701,크리미널 스쿼드,123,2018,20180419,장편,미국,액션|범죄,크리스찬 구드가스트,제라드 버틀러|파블로 쉬레이버|50센트|오시어 잭슨 주니어,(주)이수C&E,15세이상관람가
20181603,무문관,96,2018,20180419,장편,한국,다큐멘터리,박대원,0,영화사 마농(주),전체관람가
20182494,몬태나,131,2017,20180419,장편,미국,드라마,스콧 쿠퍼,크리스찬 베일|로자먼드 파이크|웨스 스투디|벤 포스터,판씨네마(주),15세이상관람가
20177962,당신의 부탁,107,2018,20180419,장편,한국,드라마,이동은,임수정|윤찬영,CGV아트하우스,15세이상관람가
20177478,어벤져스: 인피니티 워,149,2018,20180425,장편,미국,SF|액션|어드벤처|판타지,조 루소|안소니 루소,로버트 다우니 주니어|조슈 브롤린|마크 러팔로|톰 히들스턴|크리스 에반스|크리스 헴스워스|제레미 레너|스칼렛 요한슨,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가|12세이상관람가
20182561,당갈,160,2016,20180425,장편,인도,드라마|액션,니테쉬 티와리,아미르 칸|파티마 사나 셰이크|산야 말호트라,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가
20167007,살인소설,102,2017,20180425,장편,한국,스릴러,김진묵,지현우|오만석|이나라|김학철|조은지,(주)스톰픽쳐스코리아|(주)페퍼민트앤컴퍼니,15세이상관람가
20182990,아기곰 보보 구출 대작전,75,2016,20180425,장편,노르웨이,애니메이션,라스무스 A. 실버르센,허성재|조연우|박상우,와이드 릴리즈(주),전체관람가
20176101,클레어의 카메라,68,2016,20180425,장편,한국,드라마,홍상수,이자벨 위페르|김민희|장미희|정진영,(주)영화제작전원사 |(주)콘텐츠판다|무브먼트,15세이상관람가
20183195,레오나르도 다 빈치,82,2018,20180426,장편,이탈리아,애니메이션,세르지오 맨피오,김명준,(주)스마일이엔티,전체관람가
20189783,챔피언,108,2017,20180501,장편,한국,드라마,김용완,마동석|권율|한예리,워너브러더스 코리아(주),12세이상관람가
20182385,매직빈,72,2017,20180503,장편,중국,애니메이션,조이 주,장병관|황창영|민아,(주)영화사 빅,전체관람가
20176067,"부르고뉴, 와인에서 찾은 인생",113,2017,20180503,장편,프랑스,드라마,세드릭 클래피쉬,피오 마르마이|아나 지라르도|프랑수와 시빌,(주)티캐스트,15세이상관람가
20182989,커다랗고 커다랗고 커다란 배,77,2017,20180503,장편,덴마크,애니메이션,요르겐 레르담|필립 립스키,이소은|이제인|윤세웅|이규창|김현수,예지림엔터테인먼트,전체관람가
20182984,얼리맨,88,2018,20180503,장편,영국,애니메이션,닉 파크,에디 레드메인|톰 히들스턴|메이지 윌리엄스,(주)이수C&E,전체관람가
20176069,원더스트럭,115,2017,20180503,장편,미국,드라마,토드 헤인즈,줄리안 무어|오크스 페글리|미셀 윌리엄스|밀리센트 시먼즈,CGV아트하우스,전체관람가
20183307,샷 콜러,120,2017,20180504,장편,미국,스릴러|범죄|액션,릭 로먼 워,니콜라이 코스터 왈도,(주)스톰픽쳐스코리아,청소년관람불가
20177005,레슬러,109,2018,20180509,장편,한국,코미디|드라마,김대웅,유해진|김민재|이성경,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가
20137352,루비 스팍스,104,2012,20180510,장편,미국,판타지|코미디,조나단 데이턴|발레리 페리스,폴 다노|조 카잔,(주)팝엔터테인먼트,15세이상관람가|15세이상관람가
20183083,중2병이라도 사랑이 하고 싶어! 테이크 온 미,99,2018,20180510,장편,일본,애니메이션,이시하라 타츠야,후쿠야마 쥰|우치다 마아야,와이드 릴리즈(주),12세이상관람가
20159102,씨 오브 트리스,110,2015,20180510,장편,미국,드라마,구스 반 산트,매튜 맥커너히|나오미 왓츠,(주)영화사오원,12세이상관람가
20181823,보리 vs 매켄로,107,2017,20180510,장편,핀란드|스웨덴|덴마크,드라마,야누스 메츠,스베리르 구드나슨|샤이아 라보프,(주)엣나인필름,12세이상관람가
20183084,피터 래빗,94,2018,20180516,장편,호주|미국|영국,가족|애니메이션,윌 글럭,제임스 코든|도널 글리슨|로즈 번|샘 닐|신용우|엄상현|우정신|김무규,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,전체관람가
20182046,"안녕, 나의 소녀",104,2017,20180516,장편,대만,멜로/로맨스,사준의,류이호|송운화,오드,12세이상관람가
20176848,데드풀 2,117,2018,20180516,장편,미국,SF|액션|어드벤처|코미디,데이빗 레이치,라이언 레이놀즈|프레드 세비지|조슈 브롤린|재지 비츠|모레나 바카린|줄리안 데니슨,이십세기폭스코리아(주),청소년관람불가
20182323,임을 위한 행진곡,104,2018,20180516,장편,한국,드라마,박기복,김꽃비|김부선|전수현|김채희,(주)알앤오엔터테인먼트,15세이상관람가
20173202,버닝,147,2018,20180517,장편,한국,미스터리,이창동,유아인|스티븐 연|전종서,CGV아트하우스,청소년관람불가
20183321,마징가 Z: 인피니티,94,2018,20180517,장편,일본,액션|애니메이션|SF,시미즈 준지,김영선|홍시호|이지현|모리쿠보 쇼타로|카야노 아이,(주)이수C&E,12세이상관람가
20183381,5.18 힌츠페터 스토리,94,2018,20180517,장편,한국,다큐멘터리,장영주,위르겐 힌츠페터|조성하,(주)드림팩트엔터테인먼트,12세이상관람가
20183741,다이노 헌터: 티렉스VS파키리노 대격돌,77,2018,20180517,장편,영국,애니메이션,앤드류 코헨|닐 나이팅게일|베리 쿡,0,(주)박수엔터테인먼트,전체관람가
20179383,독전,123,2017,20180522,장편,한국,액션|범죄,이해영,조진웅|류준열|김성령|박해준|차승원|김주혁,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가
20183801,트루스 오어 데어,99,2018,20180522,장편,미국,스릴러|공포(호러),제프 와드로,루시 헤일|타일러 포시,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가
20180789,한 솔로: 스타워즈 스토리,135,2018,20180524,장편,미국,SF|액션,론 하워드,엘든 이렌리치|요나스 수오타모|우디 해럴슨|에밀리아 클라크,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가
20184513,위 베어 베어스: 베이비 베어스,70,2018,20180524,장편,미국,가족|애니메이션|드라마,매니 에르난데스,0,(주)팝엔터테인먼트,전체관람가
20183384,서산개척단,76,2018,20180524,장편,한국,다큐멘터리,정승현|이조훈,정영철|하용복|윤기숙|정화자|이상범|손연복,(주)인디플러그,12세이상관람가
20184132,"세라비, 이것이 인생!",115,2017,20180530,장편,프랑스,코미디,에릭 토레다노|올리비에르 나카체,장 피에르 바크리|질 를르슈|수잔 클레망|장 폴 루브,(주)디스테이션,전체관람가
20173865,데자뷰,86,2018,20180530,장편,한국,스릴러|미스터리,고경민,이천희|남규리|이규한,씨네그루(주)키다리이엔티,15세이상관람가
20176053,"스탠바이, 웬디",93,2017,20180530,장편,미국,드라마,벤 루윈,다코타 패닝|토니 콜레트,판씨네마(주),전체관람가
20180943,꼬마영웅 바비,71,2016,20180530,장편,중국,코미디|애니메이션|어드벤처,지안밍 후앙,이인석|김주호|김명준|김민성|최낙윤|안현서,와이드 릴리즈(주),전체관람가
20184668,디트로이트,142,2017,20180531,장편,미국,스릴러,캐서린 비글로우,존 보예가|안소니 마키|윌 폴터,그린나래미디어(주),15세이상관람가
20185081,아이 필 프리티,109,2018,20180606,장편,미국,코미디,아비 콘,에이미 슈머|미셀 윌리엄스,(주)홈초이스,15세이상관람가
20179086,쥬라기 월드: 폴른 킹덤,127,2018,20180606,장편,미국,SF|액션|어드벤처,후안 안토니오 바요나,크리스 프랫|브라이스 달라스 하워드,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가|12세이상관람가
20135305,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,90,2018,20180606,장편,일본,애니메이션,유야마 쿠니히코,임채헌|이선호|정미숙|변영희|마츠모토 리카|오오타니 이쿠에|토요구치 메구미|우에다 유지,(주)이수C&E,전체관람가
20184261,벅스 프렌즈,75,2018,20180606,장편,중국,애니메이션,딩 스,김소희|윤세웅|석승훈,(주)스톰픽쳐스코리아,전체관람가
20184782,호비와 매직 아일랜드,60,2018,20180606,장편,일본,애니메이션,히로 타카시마|카와마타 히로시,미나미 오미|타카하시 미키,(주)머스트씨무비릴리징컴퍼니,전체관람가
20184801,유전,127,2017,20180607,장편,미국,공포(호러),아리 애스터,토니 콜레트|알렉스 울프|밀리 샤피로,(주)팝엔터테인먼트,15세이상관람가
20184903,오션스8,110,2018,20180613,장편,미국,범죄|액션,게리 로스,산드라 블록|케이트 블란쳇|앤 해서웨이|민디 캘링|사라 폴슨|아콰피나|리한나|헬레나 본햄 카터,워너브러더스 코리아(주),12세이상관람가
20178161,탐정: 리턴즈,116,2018,20180613,장편,한국,범죄|코미디,이언희,권상우|성동일|이광수,씨제이이앤엠(주),15세이상관람가
20184512,토니스토리2: 고철왕국의 친구들,81,2017,20180613,장편,독일,어드벤처|애니메이션|코미디,마커스 하먼|토마스 보덴스타인,신정훈|이민형|오은수|송영인|크리스토프 마리아 허브스트|옐라 하세,(주)박수엔터테인먼트,전체관람가
20184699,바르다가 사랑한 얼굴들,93,2017,20180614,장편,프랑스,다큐멘터리,제이알|아녜스 바르다,아녜스 바르다|제이알|미미,(주)영화사 진진,전체관람가
20184762,류이치 사카모토: 코다,101,2017,20180614,장편,일본,다큐멘터리,스티븐 쉬블,사카모토 류이치,주식회사 씨네룩스,전체관람가
20184101,여중생A,114,2018,20180620,장편,한국,드라마,이경섭,김환희|수호,롯데컬처웍스(주)롯데엔터테인먼트,12세이상관람가
20184689,아일라,123,2017,20180621,장편,터키,전쟁|드라마,칸 울카이,이스마일 하지오글루|김설,(주)영화사 빅,15세이상관람가
20184845,미드나잇 선,91,2018,20180621,장편,미국,멜로/로맨스,스콧 스피어,벨라 손|패트릭 슈왈제네거,씨네그루(주)키다리이엔티,12세이상관람가
20175527,더 펜션,112,2017,20180621,장편,한국,드라마,류장하|정허덕재|윤창모|양종현,조재윤|조한철|박효주|박혁권|이영진|김태훈|신소율|이이경|황선희,(주)영화사오원,15세이상관람가
20182001,개들의 섬,101,2018,20180621,장편,미국,다큐멘터리|코미디|애니메이션,웨스 앤더슨,브라이언 크랜스턴|에드워드 노튼|빌 머레이|제프 골드블럼|리브 슈라이버|스칼렛 요한슨|틸다 스윈튼|프란시스 맥도맨드,이십세기폭스코리아(주),12세이상관람가
20185648,유니콘 원정대: 비밀의 다이어리,91,2016,20180621,장편,인도,애니메이션,카말 반살,최원형|변종필|장은숙|안종덕|장경희,(주)팝엔터테인먼트,전체관람가
