movieCd,movieNm,showTm,prdtYear,openDt,typeNm,nations,genres,directors,actors,companys,audits,w1,w2,w3,w4,tot
20150966,사랑하기 때문에,110,2016,20170104,장편,한국,멜로/로맨스|코미디,주지홍,차태현|서현진|김유정,(주)넥스트엔터테인먼트월드(NEW),12세이상관람가,295877,338797,339869,340528,340936
20151181,여교사,96,2015,20170104,장편,한국,드라마,김태용,김하늘|유인영|이원근,필라멘트픽쳐스,청소년관람불가,105081,113067,114703,116630,118621
20168381,얼라이드,123,2017,20170111,장편,미국,멜로/로맨스|스릴러|드라마,로버트 저메키스,브래드 피트|마리옹 꼬띠아르|리지 캐플란,롯데쇼핑㈜롯데엔터테인먼트,15세이상관람가,418161,477967,511137,518186,520448
20165443,모아나,113,2016,20170112,장편,미국,애니메이션,존 머스커|론 클레멘츠,드웨인 존슨|아우이 크라발호,월트디즈니컴퍼니코리아 유한책임회사,전체관람가,915567,1430333,1974565,2190342,2311019
20163014,7년-그들이 없는 언론,110,2016,20170112,장편,한국,다큐멘터리,김진혁,0,(주)인디플러그,12세이상관람가,12486,15560,16251,16495,17560
20151228,공조,125,2016,20170118,장편,한국,액션,김성훈,현빈|유해진|김주혁,씨제이이앤엠(주),15세이상관람가,1621572,5049695,6627878,7437836,7817654
20163845,터닝메카드W: 블랙미러의 부활,72,2016,20170118,장편,한국,애니메이션,홍헌표|김석원,소연|윤아영|신용우|장광|강호철|안영미|윤미나,씨네그루(주)키다리이엔티,전체관람가,303598,402912,425108,428663,430013
20151229,더 킹,134,2016,20170118,장편,한국,드라마|범죄,한재림,조인성|정우성|배성우|김아중|류준열,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,2372889,4502943,5132099,5307111,5318007
20163186,단지 세상의 끝,99,2016,20170118,장편,프랑스|캐나다,드라마,자비에 돌란,가스파르 울리엘|마리옹 꼬띠아르|레아 세두|뱅상 카셀|나탈리 베이,(주)엣나인필름,15세이상관람가,18011,24954,28697,29896,31604
20165822,매기스 플랜,98,2015,20170125,장편,미국,멜로/로맨스|코미디,레베카 밀러,그레타 거윅|에단 호크|줄리안 무어,오드,15세이상관람가,25745,37757,42593,44594,47855
20167324,라이언,118,2016,20170201,장편,미국|호주|영국,드라마,가스 데이비스,데브 파텔|루니 마라|데이비드 웬햄|니콜 키드먼,(주)이수C&E,12세이상관람가,76088,96220,101582,103428,104439
20154342,뚜르: 내 생애 최고의 49일,96,2016,20170201,장편,한국,다큐멘터리,김양래|전일우|임정하|박형준,이윤혁,(주)리틀빅픽쳐스,12세이상관람가,23777,26373,27153,27432,27908
20179281,컨택트,116,2016,20170202,장편,미국,스릴러|SF|드라마,드니 빌뇌브,에이미 아담스|제레미 레너|포레스트 휘태커,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,474040,594826,620103,630112,634150
20161141,50가지 그림자: 심연,118,2017,20170209,장편,미국,멜로/로맨스|드라마,제임스 폴리,제이미 도넌|다코타 존슨,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,156963,183069,188756,189366,189620
20150964,조작된 도시,126,2016,20170209,장편,한국,액션|범죄,박광현,지창욱|심은경|안재홍,씨제이이앤엠(주),15세이상관람가,1511076,2189513,2462566,2501791,2515590
20167644,발레리나,89,2016,20170209,장편,캐나다|프랑스,뮤지컬|애니메이션|어드벤처|가족,에릭 와린|에릭 섬머,엘르 패닝|데인 드한,판씨네마(주),전체관람가,125537,173766,196491,200153,203293
20162873,레고 배트맨 무비,104,2017,20170209,장편,미국,코미디|애니메이션|액션,크리스 맥케이,윌 아넷|랄프 파인즈|로사리오 도슨|마이클 세라|자흐 갈리피아나키스|머라이어 캐리,워너브러더스 코리아(주),전체관람가,124397,142496,148038,148364,148760
20163580,그레이트 월,103,2016,20170215,장편,중국|미국,액션|판타지,장예모,맷 데이먼|경첨|페드로 파스칼|윌렘 데포|유덕화,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,444800,496957,497948,499858,501486
20166421,재심,118,2016,20170215,장편,한국,드라마,김태윤,정우|강하늘|김해숙,오퍼스픽쳐스(유)|CGV아트하우스,15세이상관람가,1370817,2111160,2309782,2403818,2421197
20161744,트롤,92,2016,20170216,장편,미국,애니메이션,월트 도른|마이크 미첼,이성경|박형식|김하영|엄상현|전숙경|장광|이현|김명준|김도영,씨제이이앤엠(주),전체관람가,334536,594622,645811,670783,675966
20167906,마이펫 오지,89,2016,20170216,장편,캐나다|스페인,어드벤처|애니메이션,알베르토 로드리게즈,남도형|정은지|김현욱|이재범|기예르모 로메로|미첼 제너|다니 로비라|호세 모타,롯데쇼핑㈜롯데엔터테인먼트,전체관람가,91955,120118,122430,123693,124318
20170241,23 아이덴티티,117,2016,20170222,장편,미국,스릴러,M. 나이트 샤말란,제임스 맥어보이,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,1316094,1573959,1666736,1675719,1676011
20166101,존 윅 - 리로드,122,2017,20170222,장편,미국,스릴러|액션|범죄,채드 스타헬스키,키아누 리브스,(주)제이앤씨미디어그룹,청소년관람불가,220625,257445,269907,272668,277414
20165927,문라이트,110,2016,20170222,장편,미국,드라마,배리 젠킨스,알렉스 R. 히버트|애쉬튼 샌더스|트레반트 로즈,CGV아트하우스,15세이상관람가,71031,119917,149377,164343,179308
20167922,핵소 고지,138,2016,20170222,장편,호주|미국,전쟁|드라마,멜 깁슨,앤드류 가필드,판씨네마(주),15세이상관람가,152375,168535,174222,175197,177900
20161723,싱글라이더,97,2016,20170222,장편,한국,드라마,이주영,이병헌|공효진|안소희,워너브러더스 코리아(주),15세이상관람가,320079,346258,350715,351016,351276
20170509,극장판 소드 아트 온라인 -오디널 스케일-,121,2017,20170223,장편,일본,액션|애니메이션|SF,이토 토모히코,마츠오카 요시츠구|토마츠 하루카,(주)박수엔터테인먼트,12세이상관람가,75097,94173,105509,111198,120921
20166468,사일런스,160,2016,20170228,장편,멕시코|미국|대만,드라마,마틴 스코세이지,앤드류 가필드|아담 드라이버|리암 니슨,씨네그루(주)키다리이엔티,15세이상관람가,61237,80368,87624,90559,95156
20161827,로건,137,2017,20170301,장편,미국,SF|액션,제임스 맨골드,휴 잭맨,이십세기폭스코리아(주),청소년관람불가,1312794,1899313,2131969,2162839,2173686
20158799,눈길,121,2015,20170301,장편,한국,드라마,이나정,김영옥|김향기|김새론,(주)엣나인필름|CGV아트하우스,15세이상관람가,104626,124326,127069,128723,130500
