movieCd,movieNm,openDt,nations,directors,actors,companys,audits,w1,w2,w3,w4,tot,hCnt,애니메이션,멜로/로맨스,액션,가족,뮤지컬,범죄,미스터리,전쟁,다큐멘터리,어드벤처,공연,코미디,드라마,서부극(웨스턴),스릴러,판타지,SF,공포(호러),사극
20162300,매직브러시,20160504,1,172396,15255,1,1,152842,168278,169639,171055,172396,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20162542,다이노소어 어드벤처 : 백악기 공룡대백과,20160504,1,218872,0,1,1,93305,107660,109097,110991,112242,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20162704,극장판 안녕 자두야,20160504,3,280656,201785,3,1,219975,265929,276202,279116,280656,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20158888,45년 후,20160505,1,14043,11442,2,3,13379,19007,21405,22513,23994,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20163137,나의 소녀시대,20160512,1,419273,106797,1,3,98459,238323,333669,385459,410538,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20140194,곡성,20160512,3,3046852,744332,3,3,3212395,5056604,5927523,6546300,6879989,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0
20156559,계춘할망,20160519,3,1652953,589228,1,3,302809,424137,470733,475989,482784,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20163018,싱 스트리트,20160519,2,1436426,2774524,2,3,253974,404667,507264,534990,574853,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20156207,앵그리버드 더 무비,20160519,2,141798,109920,3,1,286044,462415,633587,662562,680622,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163322,동급생,20160519,1,39297,18183,2,3,14340,23222,32746,36074,39461,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150523,엑스맨: 아포칼립스,20160525,2,2814240,182032,3,2,1907570,2779638,2916902,2935568,2938818,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
20162569,오베라는 남자,20160525,1,92896,44727,1,2,59349,75545,80531,82978,92896,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20144444,아가씨,20160601,3,708515,1574328,3,4,2503831,3362254,3863932,4136359,4288908,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
20163215,미 비포 유,20160601,2,945172,422360,3,2,378026,559802,702593,815935,945172,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20162925,더 보이,20160601,2,17085,8220,1,3,55912,56748,56837,56849,57269,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
20163201,바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전,20160602,1,64858,23634,2,1,37613,50761,55857,57140,58619,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20163841,플래그 더 문,20160602,1,125447,135418,2,1,40140,42848,43630,43704,44574,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20158150,워크래프트: 전쟁의 서막,20160609,2,818440,77651,3,2,851214,1107106,1156881,1162826,1163274,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20162941,컨저링 2,20160609,2,1442748,568799,3,3,827336,1439894,1727331,1862793,1928605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
20162967,정글북,20160609,2,2065616,585362,1,2,1082302,1865243,2298297,2503380,2537438,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
20163164,본 투 비 블루,20160609,2,94333,332881,1,4,38764,58806,75986,83943,94333,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20159645,특별수사: 사형수의 편지,20160616,3,814475,992061,3,3,764396,1116877,1229978,1241884,1243065,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19818004,불의 전차,20160616,1,58197,8627,1,2,20542,29444,35468,40012,58197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
20150782,인디펜던스 데이 : 리써전스,20160622,2,1508490,317460,3,2,1170530,1446215,1497557,1500220,1500830,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20140704,비밀은 없다,20160623,3,263868,1246246,3,4,236971,247687,249431,250044,250904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20150972,굿바이 싱글,20160629,3,960018,859451,2,3,1242417,1878105,2092148,2108103,2108561,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
20154906,사냥,20160629,3,79159,128360,3,3,609141,644724,645796,645909,645922,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20163661,레전드 오브 타잔,20160629,2,2801471,113876,3,2,672498,841908,857751,858402,858402,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20159058,도리를 찾아서,20160706,2,1210281,668371,1,1,1189311,1850801,2147677,2503427,2601761,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
20159644,봉이 김선달,20160706,3,1971926,475340,3,2,1321839,1918216,2040833,2044438,2051386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20150203,나우 유 씨 미 2,20160713,2,1365366,270168,3,2,2166045,2903146,3090535,3098307,3100113,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20163961,데몰리션,20160713,2,45220,186777,1,4,34591,48628,58029,61563,66549,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
