,movieCd,movieNm
9202,20148745,좋은 친구들
9208,20149313,드래프트 데이
9210,20148973,혹성탈출: 반격의 서막
9218,20149767,파이어 : 테러와의 전쟁
9219,20149270,테레즈 라캥
9238,20149494,비포 : 치즈와 초콜릿을 찾아서
9256,20123501,군도: 민란의 시대
9259,20149377,파이어스톰
9272,20149394,주온 : 끝의 시작
9275,20149511,분신사바 2
9287,20136926,프란시스 하
9299,20138221,산타바바라
9306,20149462,천하무적 키코리키
9326,20129370,명량
9338,20131248,드래곤 길들이기 2
9347,20136064,해적: 바다로 간 산적
9357,20148830,마담 프루스트의 비밀정원
9359,20140081,밀애
9396,20134082,해무(海霧)
9419,20130929,스톤
9423,20149317,가디언즈 오브 갤럭시
9424,20149758,터키
9427,20149846,"안녕, 헤이즐"
9429,20149459,어떤 만남
9459,20148997,동경가족
9477,20149629,비긴 어게인
9484,20149567,명탐정 코난 : 이차원의 저격수
9486,20149568,허큘리스
9499,20138501,극장판 뛰뛰빵빵 구조대 미션: 둥둥이를 구하라!
9539,20147950,유아 넥스트
9556,20149978,비행기 2: 소방구조대
9559,20041524,극장판 포켓몬스터 AG - 아름다운 소원의 별 지라치
9624,20147928,터널 3D
9625,20149818,익스펜더블 3
9627,20149099,더 기버: 기억전달자
9629,20149441,내 연애의 기억
9637,20149931,인보카머스
9639,20149591,매직 인 더 문라이트
9678,20134804,타짜-신의 손
9695,20149140,브릭 맨션: 통제불능 범죄구역
9696,20149831,더 퍼지 : 거리의 반란
9700,20149811,인투 더 스톰
9704,20148132,닌자터틀
9709,20134594,두근두근 내 인생
9761,20135656,루시
9765,20149930,스텝 업: 올 인
9768,20149248,선샤인 온 리스
9779,20149970,마야
9799,20140181,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~
9848,20134069,씬 시티: 다크히어로의 부활
9889,20141401,쎄븐 플로어
9899,20140431,메이즈 러너
9913,20140524,툼스톤
9918,20149257,설계
9983,20140247,베리 굿 걸
9987,20140196,프랭크
9988,20140762,지골로 인 뉴욕
10026,20134589,제보자
10046,20141113,애나벨
10049,20136863,마담 뺑덕
10051,20135386,슬로우 비디오
10057,20141281,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~"
10058,20141028,정글히어로
10059,20147691,초콜렛 도넛
10069,20149838,유고와 라라 : 신비의 숲 어드벤처
10096,20147930,나의 사랑 나의 신부
10111,20141261,드라큘라: 전설의 시작
10116,20148927,맨홀
10193,20140458,노벰버 맨
10194,20149984,컬러풀 웨딩즈
10239,20148626,나의 독재자
10259,20140459,킬 유어 달링
10260,20140425,나를 찾아줘
10261,20148842,우리는 형제입니다
10263,20139964,레드카펫
10266,20149910,보이후드
10267,20142110,타임 투 러브
10279,20142021,마인드스케이프
10307,20136802,카트
10335,20141961,내가 잠들기 전에
10339,20141441,앵그리스트 맨
10369,20142844,본타: 땅콩왕국의 전설
10393,20149120,인터스텔라
10401,20147129,패션왕
10408,20142798,"제자, 옥한흠"
10409,20142481,왓 이프
10417,20142301,박스트롤
10448,20142321,울브스
10458,20136312,아빠를 빌려드립니다
10473,20142023,아더 우먼
10476,20140694,퓨리
10478,20141001,거인
10498,20143325,토마스와 친구들: 잃어버린 왕관
10529,20142843,꾸뻬씨의 행복여행
10536,20140402,헝거게임: 모킹제이
10538,20141111,"님아, 그 강을 건너지 마오"
10546,20134590,빅매치
10548,20148627,누구에게나 찬란한
10558,20010238,메멘토
10559,20143081,그 사람 그 사랑 그 세상
10565,20143565,부니 베어: 롤라 구출 대모험
10587,20137048,국제시장
10589,20130573,봄
10606,20149287,덤 앤 더머 투
10608,20141704,목숨
10618,20134588,덕수리 5형제
10619,20142741,혼스
10668,20140842,엑소더스: 신들과 왕들
10686,20040756,하울의 움직이는 성
10687,20143574,GROW: 인피니트의 리얼 청춘 라이프
10708,20143314,꼬마 잠수함 올리 2
10743,20143543,사랑에 대한 모든 것
10744,20142421,"러브, 로지"
10769,20143639,뽀로로 극장판 눈요정 마을 대모험
10809,20149265,기술자들
10810,20140226,호빗: 다섯 군대 전투
10816,20147176,상의원
10827,20141621,마미
10829,20141614,더 테너 리리코 스핀토
10846,20134436,쥬로링 동물탐정 극장판
10867,20130574,개를 훔치는 완벽한 방법
10885,20143422,숲속으로
10886,20143344,눈의 여왕 2: 트롤의 마법거울
10888,20143602,일곱난쟁이
10949,20144523,패딩턴
10951,20149859,마다가스카의 펭귄
10952,20143642,테이큰 3
11024,20149948,언브로큰
11027,20147947,워킹걸
11029,20144481,타임 패러독스
11091,20142407,오늘의 연애
11092,20131262,허삼관
11093,20143541,박물관이 살아있다 : 비밀의 무덤
11094,20143754,아메리칸 스나이퍼
11097,20142962,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시
11160,20136888,강남 1970
11162,20149951,빅 히어로
11166,20143253,존 윅
11167,20145521,엑스 마키나
11219,20145021,와일드
11233,20148553,내 심장을 쏴라
11235,20144102,워터 디바이너
11237,20145041,더 이퀄라이저
11238,20144507,빅 아이즈
11310,20148188,쎄시봉
11311,20149037,주피터 어센딩
11315,20020168,센과 치히로의 행방불명
11318,20156441,최강전사 미니특공대 : 새로운 악당의 습격
11319,20155601,바다 탐험대 옥토넛 스페셜
11366,20145141,위플래쉬
11370,20149570,조선명탐정 : 사라진 놉의 딸
11371,20140110,킹스맨 : 시크릿 에이전트
11375,20142561,7번째 아들
11385,20144322,도라에몽 : 스탠 바이 미
11387,20155881,오즈의 마법사: 돌아온 도로시
11388,20155761,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀
11432,20141962,이미테이션 게임
11445,20149401,스폰지밥 3D
11448,20145242,모데카이
11513,20147613,그레이의 50가지 그림자
11514,20156161,백 투 더 비기닝
11525,20144621,기생수 파트1
11526,20145102,포커스
11569,20145103,나이트 크롤러
11591,20136063,순수의 시대
11592,20148841,헬머니
11593,20144801,버드맨
11596,20145085,세인트 빈센트
11660,20148461,살인의뢰
11662,20156402,채피
11664,20141602,소셜포비아
11668,20156704,드래곤 블레이드
11669,20148845,스물
11699,20156841,신데렐라
11733,20157041,런 올 나이트
11738,20157001,트레이서
11758,20156904,추억의 마니
11778,20133681,태양을 쏴라
11779,20144461,인서전트
11807,20158082,투캅스 인 파리
11817,20157421,뷰티풀 라이
11860,20143580,분노의 질주: 더 세븐
11866,20157121,송 원
11867,20140703,장수상회
11875,20157394,팔로우
11878,20157587,파울볼
11879,20158504,맛있는 택배
11897,20157584,윈드랜드
11934,20141085,한 번 더 해피엔딩
11935,20145281,코블러
11943,20133682,화장
11946,20142884,엘리노어 릭비: 그 남자 그 여자
11949,20158643,뱀파이어 아카데미
11967,20158091,유고와 라라: 하늘고래와 구름섬 대모험
11989,20157904,더 건맨
12014,20156977,위자
12018,20157986,검은손
12019,20157782,신은 죽지 않았다
12059,20149266,차이나타운
12068,20148493,어벤져스: 에이지 오브 울트론
12076,20157021,"땡큐, 대디"
12083,20156321,약장수
12086,20158461,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습
12087,20158841,타이거 마운틴
12088,20158069,노아의 방주: 남겨진 녀석들
12089,20143512,위험한 상견례 2
12146,20145042,스틸 앨리스
12153,20158428,빌리와 용감한 녀석들 3
12158,20158621,스파이
12159,20100211,다이노 타임
12219,20149569,악의 연대기
12222,20158704,언프렌디드: 친구삭제
12223,20149062,연애의 맛
12225,20158561,기생수 파트2
12227,20071066,말할 수 없는 비밀
