,date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt
47,20120105,8,8,-3,OLD,20113381,오싹한 연애,2011-12-01,66488500,2.9,-69506500,-51.1,21195290000,9193,-9600,-51.1,2900682,135,410
48,20120105,9,9,-2,OLD,19940256,라이온 킹,1994-07-02,84533500,3.7,-34842500,-29.2,2413412500,8177,-3185,-28,225380,196,457
49,20120105,10,10,-2,OLD,20112709,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,32498500,1.4,-5113000,-13.6,2086228000,5023,-849,-14.5,315229,136,214
50,20120106,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,773348500,28.1,235576000,43.8,44216334000,97263,25539,35.6,5816582,538,2492
51,20120106,2,2,0,OLD,20113671,원더풀 라디오,2012-01-05,495546000,18.0,65587500,15.3,990536500,65627,5256,8.7,135421,418,2105
52,20120106,3,3,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,384206000,13.9,99996500,35.2,12560494500,49264,10322,26.5,1698421,303,1545
53,20120106,4,4,1,OLD,20113260,퍼펙트 게임,2011-12-21,238633500,8.7,65388000,37.7,7824970000,31009,7156,30,1057737,291,1073
54,20120106,5,5,-1,OLD,20110295,마이 웨이,2011-12-21,197402000,7.2,23348500,13.4,14332404000,25856,1870,7.8,1922680,398,1515
55,20120106,6,6,1,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,159464500,5.8,17451000,12.3,2307066000,23050,2656,13,313615,259,700
56,20120106,7,7,-1,OLD,20113652,다크아워,2012-01-05,170197000,6.2,-9408000,-5.2,349802000,20298,-2027,-9.1,42623,316,1432
57,20120106,8,8,0,OLD,20113381,오싹한 연애,2011-12-01,83479500,3.0,16991000,25.6,21278769500,10971,1778,19.3,2911653,135,419
58,20120106,9,9,0,OLD,19940256,라이온 킹,1994-07-02,92052500,3.3,7519000,8.9,2505465000,8967,790,9.7,234347,196,462
59,20120106,10,10,0,OLD,20112709,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,33158500,1.2,660000,2,2119386500,5114,91,1.8,320343,134,210
60,20120107,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,1836585500,29.3,1063237000,137.5,46052919500,233104,135841,139.7,6049686,561,2579
61,20120107,2,2,0,OLD,20113671,원더풀 라디오,2012-01-05,1085504000,17.3,589958000,119.1,2076040500,144597,78970,120.3,280018,474,2264
62,20120107,3,3,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,849732500,13.6,465526500,121.2,13410227000,110327,61063,124,1808748,306,1566
63,20120107,4,4,2,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,464164500,7.4,304700000,191.1,2771230500,62210,39160,169.9,375825,285,802
64,20120107,5,5,-1,OLD,20113260,퍼펙트 게임,2011-12-21,469285500,7.5,230652000,96.7,8294255500,61287,30278,97.6,1119024,296,1045
65,20120107,6,6,-1,OLD,20110295,마이 웨이,2011-12-21,416401000,6.6,218999000,110.9,14748805000,54246,28390,109.8,1976926,401,1471
66,20120107,7,7,0,OLD,20113652,다크아워,2012-01-05,325271500,5.2,155074500,91.1,675073500,39040,18742,92.3,81663,324,1340
67,20120107,8,8,1,OLD,19940256,라이온 킹,1994-07-02,248923500,4.0,156871000,170.4,2754388500,23628,14661,163.5,257975,198,508
68,20120107,9,9,-1,OLD,20113381,오싹한 연애,2011-12-01,168201500,2.7,84722000,101.5,21446971000,22237,11266,102.7,2933890,138,448
69,20120107,10,10,0,OLD,20112709,극장판 포켓몬스터 베스트 위시「비크티니와 백의 영웅 레시라무」,2011-12-22,108875000,1.7,75716500,228.3,2228261500,16330,11216,219.3,336673,154,248
70,20120108,1,1,0,OLD,20112207,미션임파서블:고스트프로토콜,2011-12-15,1656108500,29.9,-180477000,-9.8,47709028000,211224,-21880,-9.4,6260910,559,2568
71,20120108,2,2,0,OLD,20113671,원더풀 라디오,2012-01-05,931526500,16.8,-153977500,-14.2,3007567000,123253,-21344,-14.8,403271,458,2174
72,20120108,3,3,0,OLD,20112621,셜록홈즈 : 그림자 게임,2011-12-21,726023500,13.1,-123709000,-14.6,14136250500,93839,-16488,-14.9,1902587,306,1558
73,20120108,4,4,1,OLD,20113260,퍼펙트 게임,2011-12-21,443607500,8.0,-25678000,-5.5,8737863000,57278,-4009,-6.5,1176302,296,1081
74,20120108,5,5,1,OLD,20110295,마이 웨이,2011-12-21,383844500,6.9,-32556500,-7.8,15132649500,49867,-4379,-8.1,2026793,390,1423
75,20120108,6,6,-2,OLD,20113271,프렌즈: 몬스터섬의비밀 ,2011-12-29,380409500,6.9,-83755000,-18,3151640000,49311,-12899,-20.7,425136,284,782
76,20120108,7,7,0,OLD,20113652,다크아워,2012-01-05,288747000,5.2,-36524500,-11.2,963820500,34992,-4048,-10.4,116655,315,1292
77,20120108,8,8,0,OLD,19940256,라이온 킹,1994-07-02,228414000,4.1,-20509500,-8.2,2982802500,20950,-2678,-11.3,278925,201,498
78,20120108,9,9,0,OLD,20113381,오싹한 연애,2011-12-01,144600000,2.6,-23601500,-14,21591571000,18968,-3269,-14.7,2952858,137,429
