,movieNm,1주차,2주차,3주차,4주차
246,발레리안: 천 개 행성의 도시,424509,506049,510114,510236
247,밤의 해변에서 혼자,32664,45615,50611,53240
248,배드 지니어스,14769,16815,17252,17749
249,배저로와 친구들: 신비한 모험,20066,23807,24573,25546
250,배트맨 대 슈퍼맨: 저스티스의 시작,1646940,2072753,2216810,2247073
251,백설공주 : 사라진 아빠를 찾아서,43293,51890,53337,54383
252,버닝,399975,484119,516302,525432
253,벅스 프렌즈,30713,34602,36082,36609
254,번개맨,59510,65624,68048,68958
255,번개맨과 신비의 섬,39037,54591,59094,60181
256,범블비,1299768,1522691,1558872,1560600
257,범죄도시,2388597,3933787,5176405,5992694
258,베놈,2687623,3397281,3742645,3876225
259,베이블레이드 버스트 갓 : 갓 발키리의 탄생,83760,103729,108644,109190
260,베이비 드라이버,563851,765625,817809,822056
261,베일리 어게인,62140,85567,91825,93427
262,벤허,1003113,1293573,1373578,1394721
263,벽 속에 숨은 마법시계,188357,214139,214588,214896
264,변산,358686,464827,486330,489276
265,보스 베이비,1545854,2001401,2236518,2351036
266,보안관,1716624,2351249,2549414,2582676
267,보통사람,329602,379760,383048,383335
268,보헤미안 랩소디,964373,2190735,3557360,5115145
269,본 투 비 블루,38764,58806,75986,83943
270,봉이 김선달,1321839,1918216,2040833,2044438
271,부라더,975154,1381374,1477840,1490050
272,"부르고뉴, 와인에서 찾은 인생",16780,31865,44253,48710
273,부산행,6659075,9256052,10371044,11007627
274,부탁 하나만 들어줘,106592,111516,116345,118381
275,부활,55225,112835,145154,163434
276,분노,14034,20857,25955,27436
277,분노의 질주: 더 익스트림,1794978,2798060,3424763,3624850
278,불의 전차,20542,29444,35468,40012
279,불한당: 나쁜 놈들의 세상,712525,890777,914990,921225
280,뷰티풀 투모로우,35873,46910,57233,60317
281,브루클린,17609,31487,42002,47731
282,브리짓 존스의 베이비,463038,692909,781019,811419
283,브이아이피,1149341,1350795,1369688,1373197
284,블랙 팬서,3660109,4789420,5258930,5357312
285,블레이드 러너 2049,276578,310671,315264,318264
286,비밀은 없다,236971,247687,249431,250044
287,비밥바룰라,41785,43647,44566,45191
288,비정규직 특수요원,2075794,3445348,4274946,4711186
289,빅샤크: 매직체인지,67024,102692,127628,135274
290,빅쇼트,265982,382991,422748,442538
291,빅풋 주니어,198346,274540,304117,313614
292,빌리와 용감한 녀석들: 치킨 히어로,27695,34256,35362,35491
293,뽀로로 극장판 공룡섬 대모험,380096,588234,737010,802275
294,사냥,609141,644724,645796,645909
295,사라진 밤,817775,1179632,1310959,1315231
296,사랑하기 때문에,295877,338797,339869,340528
297,사일런스,61237,80368,87624,90559
298,산상수훈,20982,24945,29086,40183
299,살인자의 기억법,1508731,2222966,2538953,2652141
300,상류사회,611671,743264,765402,765757
301,서산개척단,4177,4798,5061,5206
302,"서서평, 천천히 평온하게",55887,78308,90200,95757
303,서울역,137930,145804,146610,146798
304,서치,865844,1951031,2635240,2850155
305,석조저택 살인사건,328584,349072,350599,350787
306,선생님의 일기,61617,70281,71020,71120
307,설리: 허드슨강의 기적,418062,580281,616113,622757
308,성난황소,1227499,1531229,1583781,1593180
309,"세라비, 이것이 인생!",17365,20382,21639,22268
310,세상에서 고양이가 사라진다면,59941,68422,69558,70140
311,셜록 놈즈,76930,84346,88161,89933
312,셜록: 유령신부,1086912,1251033,1275444,1278172
313,셰이프 오브 워터: 사랑의 모양,265410,373586,452615,486971
314,소공녀,34651,46702,52194,55097
315,송 투 송,18540,21824,22269,22518
316,수어사이드 스쿼드,1644839,1854646,1892067,1897734
317,순정,227381,236938,238689,240484
318,순종,23484,35851,42555,47849
319,슈퍼 빼꼼: 스파이 대작전,87040,93644,96597,98572
320,슈퍼배드 3,1922726,2813753,3152068,3274446
321,스머프: 비밀의 숲,349854,407546,422499,425078
322,스윙키즈,974206,1348088,1453102,1466284
323,스카이스크래퍼,757775,997078,1001092,1001505
324,스타 이즈 본,185177,288324,389696,434533
325,스타워즈: 라스트 제다이,765591,935014,953840,957457
326,스타트렉 비욘드,819394,1065748,1139573,1145550
327,"스탠바이, 웬디",39832,44802,46137,46462
328,스티브 잡스,57536,65315,67008,68017
329,스파이더맨: 뉴 유니버스,469846,588725,659110,686441
330,스파이더맨: 홈 커밍,4301549,6241925,7009762,7209548
331,스파키,28970,34205,35188,35239
332,스포트라이트,162007,246289,276520,291406
333,스플릿,553151,716204,755932,757413
334,시간이탈자,663977,1026760,1166031,1201547
335,시카리오: 데이 오브 솔다도,183750,217370,226212,227942
336,신과함께-인과 연,7734966,10538870,11543116,11990430
337,신과함께-죄와 벌,5696686,9966473,11974784,13110626
338,신비아파트: 금빛 도깨비와 비밀의 동굴,484967,654992,673464,677024
339,신비한 동물들과 그린델왈드의 범죄,41594,51110,52083,52287
340,신비한 동물사전,2379264,3703028,4305039,4520586
341,신은 죽지 않았다 3: 어둠 속의 빛,55994,68379,72999,75951
342,심야식당 2,32348,41678,45473,46381
343,싱 스트리트,253974,404667,507264,534990
344,싱글라이더,320079,346258,350715,351016
345,"쏘아올린 불꽃, 밑에서 볼까? 옆에서 볼까?",26455,26867,26912,26919
346,쓰리 빌보드,57856,84019,92000,94423
347,씽,751104,1363991,1654744,1722331
348,아가씨,2503831,3362254,3863932,4136359
349,아기배달부 스토크,189309,300307,321761,322882
350,아메리칸 메이드,344437,397020,399637,400163
351,아빠는 딸,357625,589470,643875,646097
352,아수라,2218912,2543479,2587398,2591519
353,아이 캔 스피크,1099933,2406280,3044836,3193018
354,아이 필 프리티,147109,191903,222975,235078
355,아이스 에이지: 지구 대충돌,339904,533400,550685,552599
356,아일라,34014,39404,41546,42355
357,아쿠아맨,2269150,3981052,4705125,4976605
358,악녀,679877,1032037,1173053,1201673
359,"안녕, 나의 소녀",75712,97867,109135,111037
360,안시성,3553140,4866007,5268968,5382611
361,암수살인,2194824,3033916,3511368,3755885
362,애나벨 : 인형의 주인,1501588,1834968,1918049,1933067
363,앤트맨과 와스프,3186536,4644036,5334244,5439554
364,앨빈과 슈퍼밴드: 악동 어드벤처,205800,281369,291474,292442
365,앵그리버드 더 무비,286044,462415,633587,662562
366,양말요정 휴고의 대모험,21692,24914,25177,25486
367,어느 가족,68148,110702,135621,149873
368,어느날,198408,229413,233838,234645
369,어드리프트:우리가 함께한 바다,53602,57664,58084,58907
370,어메이징 메리,22604,30379,33461,33819
371,어벤져스: 인피니티 워,6254573,9249573,10344900,10891687
372,언노운 걸,15620,20750,23548,24321
373,얼라이드,418161,477967,511137,518186
374,얼리맨,96648,117903,120142,120896
375,업그레이드,141053,187015,188432,189727
376,에곤 쉴레: 욕망이 그린 그림,19656,30664,39173,43231
377,에그엔젤 코코밍: 두근두근 핼러윈 파티,39114,43890,45856,46298
378,에이리언: 커버넌트,1063197,1272178,1301602,1304484
379,엑스맨: 아포칼립스,1907570,2779638,2916902,2935568
380,엘르,16736,27420,32553,33997
381,여교사,105081,113067,114703,116630
382,연애담,10377,16504,19470,20911
383,예수는 역사다,80004,124888,144753,153571
384,오 마이 그랜파,74971,77932,78917,79551
385,"오늘 밤, 로맨스 극장에서",29535,35161,35568,35606
386,오두막,44456,54346,59433,64290
387,오리엔트 특급 살인,599806,833500,861833,862997
388,오베라는 남자,59349,75545,80531,82978
389,오빠생각,731110,958811,1041051,1067171
390,오션스8,757549,1163789,1316137,1331862
391,오즈: 신기한 마법가루,71436,77203,77955,78201
392,옥자,162216,238562,282374,302775
393,올 더 머니,51098,64923,68316,69506
394,완벽한 타인,2206353,3737433,4572118,5005211
395,용순,9141,11116,12053,12475
396,우리의 20세기,17083,27764,31317,33103
397,워크래프트: 전쟁의 서막,851214,1107106,1156881,1162826
398,원더 우먼,1587714,1933648,2114239,2151021
399,원더,116959,161342,188976,212657
400,원더스트럭,19722,24298,25777,26317
401,원더풀 고스트,424891,444179,447483,449146
402,원라인,351725,426026,433118,434338
403,월요일이 사라졌다,574831,819141,886521,901878
404,위대한 소원,256048,300981,306575,307732
405,위대한 쇼맨,637730,935683,1136916,1246208
406,유리정원,21155,22216,22565,22663
407,유스,32158,52365,65062,74440
408,유전,130356,158493,172283,176345
409,이별의 아침에 약속의 꽃을 장식하자,32031,36493,37203,37467
410,이퀄스,65862,68015,68602,68792
411,인디펜던스 데이 : 리써전스,1170530,1446215,1497557,1500220
412,인랑,869157,895153,896420,897483
413,인비저블 게스트,65060,90253,94005,94660
414,인어공주 : 새로운 모험의 시작,25261,30298,31540,32175
415,인천상륙작전,3903979,5669373,6526011,6847431
416,인크레더블 2,1687419,2616266,2969266,3011797
417,인페르노,557906,651924,682444,688145
418,일사각오,27669,46917,57815,68108
419,임금님의 사건수첩,1111569,1569479,1626857,1632364
420,자백,75292,100800,115269,123962
421,잠깐만 회사 좀 관두고 올게,30068,33451,34360,34880
422,장난감이 살아있다,79144,132560,140358,141639
423,장산범,880746,1211182,1301808,1305587
424,재심,1370817,2111160,2309782,2403818
