peopleCd,peopleNm,repRoleNm,filmoNames
10043421,안소니 루소,감독,21 브릿지: 테러 셧다운 |어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
10065016,조 루소,감독,21 브릿지: 테러 셧다운 |어벤져스: 엔드게임|어벤져스: 인피니티 워|캡틴 아메리카: 시빌 워|캡틴 아메리카: 윈터 솔져|허니문크래셔|웰컴 투 콜린우드
20115376,비탈리 만스키,감독,태양 아래(해설판)|태양 아래|선라이즈 선셋
10033646,빌리 레이,감독,시크릿 인 데어 아이즈|브리치|셰터드 글래스|컬러 오브 나이트
10065952,조성희,감독,승리호(가제)|탐정 홍길동: 사라진 마을|늑대소년-확장판|늑대소년|짐승의 끝|장례식의 멤버|남매의 집|KAFA 단편 2|사사건건|Dir/Actors 5. 구교환&조현철
20233726,쯔씽 쫑,감독,매직브러시
20187185,닐 나이팅게일,감독,다이노 헌터: 티렉스VS파키리노 대격돌|다이노소어 어드벤처 : 백악기 공룡대백과|다이노소어 어드벤처 3D
10030925,베리 쿡,감독,다이노 헌터: 티렉스VS파키리노 대격돌|다이노소어 어드벤처 : 백악기 공룡대백과|다이노소어 어드벤처 3D|아더 크리스마스|뮬란
10045983,앤드류 코헨,감독,다이노 헌터: 티렉스VS파키리노 대격돌|다이노소어 어드벤처 : 백악기 공룡대백과
20234506,손석우,감독,안녕자두야 서유기 : 어쩌다 영웅 |극장판 안녕 자두야|안녕 자두야 스페셜 : 인어공주 
20234026,이동희,감독,다이노X 탐험대
20170740,앤드류 헤이,감독,린 온 피트|45년 후|주말
10060348,프랭키 첸,감독,장난스런 키스|나의 소녀시대
10007437,나홍진,감독,곡성|황해|추격자|汗|완벽한 도미요리
10065271,조근식,감독,엽기적인 그녀 2|그해 여름|품행제로|워너비 
10016782,로베르트 슈벤트케,감독,더 캡틴|다이버전트 시리즈: 얼리전트|인서전트|R.I.P.D. : 알.아이.피.디.|레드|시간 여행자의 아내|플라이트 플랜|타투
10068279,존 카니,감독,싱 스트리트|비긴 어게인|원스|온 디 에지
10066175,퍼갈 레일리,감독,앵그리버드 더 무비
10091679,클레이 케이티스,감독,앵그리버드 더 무비
20236126,일리야 나이슐러,감독,하드코어 헨리
20235866,나카무라 쇼코,감독,동급생
10061773,정보서,감독,몽키킹3: 서유기 여인왕국|몽키킹2: 서유기 여정의 시작|살파랑2: 운명의 시간|몽키킹: 손오공의 탄생|모터웨이: 분노의 질주|엑시던트|군계|구교구|괴물|추격 8월 15|애.작전|고택심황황|열혈청년|공포열선지대두괴영 |수저청춘구생
10031865,브라이언 싱어,감독,보헤미안 랩소디|엑스맨: 아포칼립스|엑스맨: 데이즈 오브 퓨처 패스트|잭 더 자이언트 킬러|작전명 발키리|수퍼맨 리턴즈|엑스맨 2|엑스맨|죽음보다 무서운 비밀|유주얼 서스펙트
10086701,하네스 홀름,감독,오베라는 남자|비하인드 블루 스카이즈|동창회
10022775,마이크 플래너건,감독,닥터 슬립|위자: 저주의 시작|썸니아|오큘러스
10029381,박찬욱,감독,"리틀 드러머 걸: 감독판 |아가씨|아가씨(확장판)|비밀은 없다|무뢰한|고진감래|설국열차|스토커|박쥐|미쓰 홍당무|싸이보그지만 괜찮아|소년, 천국에 가다|친절한 금자씨|한국 영화의 르네상스|쓰리, 몬스터 '컷'|올드보이|철없는 아내와 파란만장한 남편 그리고 태권소녀|복수는 나의 것|휴머니스트|공동경비구역 JSA|아나키스트|3인조|달은...해가 꾸는 꿈|반신반의|격세지감|A Rose Reborn|V|청출어람|파란만장|믿거나 말거나, 찬드라의 경우|심판|<3월 단편 상상극장-파킹 찬스>|쓰리 몬스터|여섯 개의 시선"
20235566,테아 샤록,감독,미 비포 유
10027774,민규동,감독,"허스토리|당신, 거기 있어줄래요|간신|내 아내의 모든 것|세상에서 가장 아름다운 이별|김종욱 찾기|끝과 시작|키친|서양 골동 양과자점 앤티크|열세살 수아|내 생애 가장 아름다운 일주일|이공|여고괴담 두번째 이야기|비밀과 거짓말 |창백한푸른점 |열일곱|허스토리|무서운 이야기 3 : 화성에서 온 소녀|제15회 미쟝센 단편영화제 김태용 단편 특별전 1|무서운 이야기 2|무서운 이야기|무서운 이야기2'444'"
10003598,김곡,감독,"보이스(가제)|솔루션|코메디: 다 웃자고 하는 얘기|자가당착: 시대정신과 현실참여|화이트: 저주의 멜로디|방독피|고갈|뇌절개술|자본당 선언: 만국의 노동자여, 축적하라!|중산층 가정의 대재앙|시간의식|철의 여인|자살변주|임계밀도|Bomb! Bomb! Bomb!|빛과 계급 |무서운 이야기 3 : 화성에서 온 소녀|[인디포럼2016] 기획전01 김곡, 김선 특별전|[인디포럼2016] 기획전04 디지털, 눈을 뜨다 |무서운 이야기|무서운 이야기 3 '기계령'|무서운 이야기 '앰뷸런스'"
20080184,백승빈,감독,나와 봄날의 약속|내 심장을 쏴라|디어 에밀리|장례식의 멤버|프랑스 중위의 여자|무서운 이야기 3 : 화성에서 온 소녀|무서운 이야기 3 '여우골'
10053163,윌리엄 브렌트 벨,감독,더 보이 2: 돌아온 브람스 |더 보이|늑대인간: 더 오리지널|더 데빌 인사이드|스테이 얼라이브
10011208,다라 오코넬,감독,바다 탐험대 옥토넛 시즌4: 더 파이널|바다 탐험대 옥토넛 시즌4: 바다 괴물 대소동|바다 탐험대 옥토넛 시즌4: 늪지탐험선K|바다 탐험대 옥토넛 시즌4: 아슬아슬 구조대작전|바다 탐험대 옥토넛 시즌4: 빙하탐험선S
20121462,엔리케 가토,감독,플래그 더 문|테드: 황금도시 파이티티를 찾아서
10010652,던칸 존스,감독,워크래프트: 전쟁의 서막|소스 코드|더 문
10064265,제임스 완,감독,아쿠아맨|애나벨 : 인형의 주인|컨저링 2|분노의 질주: 더 세븐|인시디어스: 두번째 집|컨저링|인시디어스|데드 사일런스|쏘우
20235906,로버트 뷔드로,감독,본 투 비 블루
20172160,쿠와바라 사토시,감독,극장판 유희왕 더 다크 사이드 오브 디멘션즈|블랙잭
10002517,권종관,감독,특별수사: 사형수의 편지|썬데이 서울|새드무비|S 다이어리|동전 모으는 소년|이발소 異氏|1979년 10월 28일 일요일 맑음
10010305,데이브 그린,감독,닌자터틀 : 어둠의 히어로|에코
10090825,휴 허드슨,감독,꿈꾸는 아프리카|지금까지의 내 인생|타잔-크리스포터 램버트/그레이스 토크|불의 전차
10018115,롤랜드 에머리히,감독,"미드웨이|인디펜던스 데이 : 리써전스|스톤월|화이트 하우스 다운|위대한 비밀|2012|10,000 BC|투모로우|패트리어트-늪속의 여우|롤랜드 에머릭의 디스트럭션|고질라 |인디펜던스 데이 |스타게이트 |유니버설 솔져"
10041797,아리엘 브로멘,감독,크리미널|크리미널-무삭제 특별판|아이스맨|다니카|화이트 카오스
10054739,이경미,감독,비밀은 없다|음모자|미쓰 홍당무|인터뷰|비처럼 음악처럼|아랫집|오디션|페르소나
10006078,김태곤,감독,"범죄의 여왕|굿바이 싱글|족구왕|1999, 면회|독|연리지|두사부일체|1000만|빨리 보는 남자, 빨리 치는 여자|환상극장"
10056854,이우철,감독,사냥|7광구|첼로-홍미주 일가 살인사건|해피 에로 크리스마스|내츄럴시티
20100014,데이빗 예이츠,감독,신비한 동물들과 그린델왈드의 범죄|신비한 동물사전|레전드 오브 타잔|해리포터와 죽음의 성물2|해리 포터와 죽음의 성물1|해리 포터와 혼혈 왕자|해리 포터와 불사조 기사단|카페의 소녀
10045926,앤드류 스탠튼,감독,도리를 찾아서|존 카터: 바숨 전쟁의 서막 |월ㆍE|니모를 찾아서
10028545,박대민,감독,특송|봉이 김선달|그림자 살인|애인|이봐요 무얼 찾고 있나요?
10007160,나카무라 요시히로,감독,닌자의 나라|귀담백경|잔예 - 살아서는 안되는 방|예고범|백설공주 살인사건|촌마게 푸딩|골든 슬럼버|피쉬 스토리|집오리와 들오리의 코인로커|루트 225
10068277,존 추,감독,인 더 하이츠|크레이지 리치 아시안|나우 유 씨 미 2|지.아이.조 2|저스틴 비버 : 네버 세이 네버|스텝 업 3D|스텝업 2 : 더 스트리트
10059297,자움 콜렛 세라,감독,커뮤터|언더 워터|런 올 나이트|논스톱|골2 : 꿈을 향해 뛰어라
10059743,장 마크 발레,감독,데몰리션|와일드|달라스 바이어스 클럽|카페 드 플로르|영 빅토리아|크레이지
20225826,이창열,감독,해피 투게더|트릭
10017533,로아 우타우,감독,툼레이더|더 웨이브|이스케이프 : 생존을 위한 탈출|프릿 빌트
20238426,줄리아 폰 하인츠,감독,나의 산티아고
10049814,연상호,감독,반도|염력|카이: 거울 호수의 전설|서울역|부산행|졸업반|창백한 얼굴들|화산고래|사이비|돼지의 왕|집으로|창|사랑은 단백질|지옥: 두개의 삶|지옥|콕!애니 - [섹션2] VIEW : 세상보기|연상호 감독 특별전 : 지옥의 시네마|7월 수요단편극장 “연상호 감독 특별전”|제14회 미쟝센 단편 영화제 웃는 게 웃는 게 아니야  |SICAF2015 연상호 단편선|애정만세|인디포럼2015 특별2
10022766,마이크 트메이어,감독,아이스 에이지: 지구 대충돌|아이스 에이지 4: 대륙 이동설|아이스 에이지 3: 공룡시대
10009939,타카하시 시게하루,감독,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!|극장판 요괴워치: 탄생의 비밀이다냥!
10057235,이재한,감독,인천상륙작전 : 익스텐디드 에디션(확장판)|인천상륙작전|제3의 사랑|포화속으로|사요나라 이츠카|내 머리 속의 지우개|컷 런스 딥
20070799,고레에다 히로카즈,감독,파비안느에 관한 진실|어느 가족|세 번째 살인|태풍이 지나가고|바닷마을 다이어리|그렇게 아버지가 된다|엔딩노트|진짜로 일어날지도 몰라 기적|공기인형|걸어도 걸어도|하나|아무도 모른다|디스턴스|원더풀 라이프|환상의 빛|그러나... 복지를 버리는 시대로|또 하나의 교육
10083439,폴 그린그래스,감독,제이슨 본|캡틴 필립스|그린 존|본 얼티메이텀|플라이트93|본 슈프리머시|블러디 선데이
20238966,트레버 월,감독,빅
10011476,데이비드 에이어,감독,수어사이드 스쿼드|수어사이드 스쿼드 (블루레이버전)|퓨리|사보타지|엔드 오브 왓치|스트리트 킹|하쉬 타임
20112359,크리스 리노드,감독,마이펫의 이중생활 2|마이펫의 이중생활|슈퍼배드 2|로렉스|슈퍼  배드
10088463,허진호,감독,"천문: 하늘에 묻는다|선물|덕혜옹주|위험한 관계|호우시절|행복|외출|이공|봄날은 간다|킬리만자로|8월의 크리스마스|아름다운 청년 전태일|두개의 빛: 릴루미노|제 6회 제천국제음악영화제 트레일러|나, 여기있어요|나의 새 남자친구|따로 또 같이|고철을 위하여|사랑이 죄인가|MSFF2017 허진호 단편 특별전|오감도"
20113482,시즈노 코분,감독,"안녕, 티라노: 영원히, 함께|명탐정 코난:진홍의 연가|명탐정 코난: 순흑의 악몽|명탐정 코난 : 화염의 해바라기|명탐정 코난 : 이차원의 저격수|명탐정 코난: 11번째 스트라이커|명탐정 코난 : 침묵의 15분|진구세주전설 북두의 권 토키전"
10005717,김종현,감독,국가대표 2|미스터 고|마이 뉴 파트너|슈퍼스타 감사용|로드무비|깡패수업 3|퇴마록
20128773,김성훈,감독,창궐|공조|마이 리틀 히어로
20333396,이원재,감독,근무 중 이상무
20239406,이원재,감독,슈퍼 프렌즈
20334112,이경호,감독,용이 될래요|아기장수
20304971,이경호,감독,해미를 찾아서|신기록
20111323,이경호,감독,슈퍼 프렌즈|코알라 키드 : 영웅의 탄생|파이스토리
10039450,스티븐 스필버그,감독,"웨스트 사이드 스토리|쥬라기 월드: 폴른 킹덤|레디 플레이어 원|더 포스트|마이 리틀 자이언트|스파이 브릿지|링컨|워 호스|틴틴 : 유니콘호의 비밀|인디아나 존스 4 : 크리스탈 해골의 왕국|뮌헨|우주전쟁|터미널|캐치 미 이프 유 캔|마이너리티 리포트|E.T. : 탄생 20주년 기념작|A.I.|라이언 일병 구하기|아미스타드|쥬라기 공원 2 - 잃어버린 세계 |쉰들러 리스트|쥬라기 공원|후크|빽투더퓨처 3|8번가의 기적|인디아나 존스 : 최후의 성전|누가 로저래빗을 모함했나|공룡시대|태양의 제국|피라미드의 공포|컬러퍼플|인디아나 존스 - 마궁의 사원, 저주받은 사원 |환상특급|악령의 상자|이티|레이더스|1941|미지와의 조우|죠스|슈가랜드 특급"
20129369,히시다 마사카즈,감독,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-|킹 오브 프리즘 –샤이니 세븐 스타즈- IV 루이x신x언노운|킹 오브 프리즘 -샤이니 세븐 스타즈- Ⅲ 레오×유우×알렉|킹 오브 프리즘 –샤이니 세븐 스타즈- II 카케루x조지x미나토|킹 오브 프리즘 -샤이니 세븐 스타즈-|킹 오브 프리즘 - 프라이드 더 히어로|극장판 프리파라 모두 모여라! 프리즘☆투어즈|킹 오브 프리즘|뉴타입 히어로 얏타맨
10049814,연상호,감독,반도|염력|카이: 거울 호수의 전설|서울역|부산행|졸업반|창백한 얼굴들|화산고래|사이비|돼지의 왕|집으로|창|사랑은 단백질|지옥: 두개의 삶|지옥|콕!애니 - [섹션2] VIEW : 세상보기|연상호 감독 특별전 : 지옥의 시네마|7월 수요단편극장 “연상호 감독 특별전”|제14회 미쟝센 단편 영화제 웃는 게 웃는 게 아니야  |SICAF2015 연상호 단편선|애정만세|인디포럼2015 특별2
10075456,케빈 먼로,감독,갤럭시 히어로즈: 라쳇 앤 클랭크|딜런 독: 죽음의 밤|닌자거북이 TMNT
10061132,저스틴 린,감독,분노의 질주 : 더 얼티메이트|스타트렉 비욘드|분노의 질주: 더 맥시멈|분노의 질주: 언리미티드|분노의 질주: 더 오리지널|피니싱 더 게임|패스트 앤 퓨리어스 도쿄 드리프트|아나폴리스|베터 럭 투마로우
20186877,이영준,감독,극장판 미니특공대: 공룡왕 디노 |미니특공대X|파워배틀 와치카: 와치가면의 역습|부릉! 부릉! 브루미즈: 스피더의 모험 일기|파워배틀 와치카 미니카 배틀리그: 불꽃의 질주|최강전사 미니특공대: 영웅의 탄생|최강전사 미니특공대 : 새로운 악당의 습격|뽀로로 극장판 슈퍼썰매 대모험
20235586,데이비드 F. 샌드버그,감독,샤잠!|애나벨 : 인형의 주인|라이트 아웃
10039589,스티븐 프리어스,감독,빅토리아 & 압둘|플로렌스|챔피언 프로그램|필로미나의 기적|레이디 겜블러|더 퀸|미세스 헨더슨 프리젠츠|더티 프리티 씽|페일 세이프|사랑도 리콜이 되나요?|리엄|하이 로 컨츄리|메리 라일리 |그리프터스|리틀 빅 히어로|위험한 관계 |나의 아름다운 세탁소
10083870,폴 페이그,감독,라스트 크리스마스|부탁 하나만 들어줘|고스트버스터즈|스파이|더 히트|내 여자친구의 결혼식|성탄절 전야의 공항 대소동|아이 엠 데이빗
20211226,채두병,감독,올레
10010703,데니스 간젤,감독,"베를린, 아이 러브 유|메카닉: 리크루트|위 아더 나이트|더 웨이브|나폴라|히틀러유겐트|걸스 온 탑"
20170123,드레이크 도리머스,감독,조|뉴니스|이퀄스|우리가 사랑한 시간|라이크 크레이지
20166822,제임스 보빈,감독,도라와 잃어버린 황금의 도시|거울나라의 앨리스|머펫 모스트 원티드|머펫 대소동
