,movieNm,holidayCount
529,셰이프 오브 워터: 사랑의 모양,0
530,월요일이 사라졌다,0
531,반딧불이 딘딘,0
532,리틀 포레스트,0
533,궁합,0
534,더 포스트,0
535,레드 스패로,0
536,게이트,0
537,나미야 잡화점의 기적,0
538,사라진 밤,0
539,온리 더 브레이브,0
540,플로리다 프로젝트,0
541,툼레이더,0
542,지금 만나러 갑니다,0
543,치즈인더트랩,0
544,로건 럭키,0
545,허리케인 하이스트,0
546,쓰리 빌보드,0
547,퍼시픽 림: 업라이징,0
548,소공녀,0
549,미니특공대X,0
550,콜 미 바이 유어 네임,0
551,7년의 밤,0
552,레디 플레이어 원,0
553,곤지암,0
554,막달라 마리아: 부활의 증인,0
555,레이디 버드,0
556,바람 바람 바람,0
557,덕구,0
558,번개맨과 신비의 섬,0
559,문호 스트레이독스 [데드 애플],0
560,램페이지,2
561,"그날, 바다",2
562,머니백,2
563,콰이어트 플레이스,2
564,스파키,2
565,달링,2
566,나를 기억해,2
567,정글번치: 최강 악당의 등장,2
568,크리미널 스쿼드,2
569,무문관,2
570,몬태나,2
571,당신의 부탁,2
572,어벤져스: 인피니티 워,3
573,당갈,3
574,살인소설,3
575,아기곰 보보 구출 대작전,3
576,클레어의 카메라,3
577,레오나르도 다 빈치,3
578,챔피언,1
579,매직빈,1
580,"부르고뉴, 와인에서 찾은 인생",1
581,커다랗고 커다랗고 커다란 배,1
582,얼리맨,1
583,원더스트럭,1
584,샷 콜러,1
585,레슬러,2
586,루비 스팍스,2
587,중2병이라도 사랑이 하고 싶어! 테이크 온 미,2
588,씨 오브 트리스,2
589,보리 vs 매켄로,2
590,피터 래빗,2
591,"안녕, 나의 소녀",2
592,데드풀 2,2
593,임을 위한 행진곡,2
594,버닝,2
595,마징가 Z: 인피니티,2
596,5.18 힌츠페터 스토리,2
597,다이노 헌터: 티렉스VS파키리노 대격돌,2
598,독전,2
599,트루스 오어 데어,2
600,한 솔로: 스타워즈 스토리,2
601,위 베어 베어스: 베이비 베어스,2
602,서산개척단,2
603,"세라비, 이것이 인생!",2
604,데자뷰,2
605,"스탠바이, 웬디",2
606,꼬마영웅 바비,2
607,디트로이트,1
608,아이 필 프리티,1
609,쥬라기 월드: 폴른 킹덤,1
610,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,1
611,벅스 프렌즈,1
612,호비와 매직 아일랜드,1
613,유전,0
614,오션스8,0
615,탐정: 리턴즈,0
616,토니스토리2: 고철왕국의 친구들,0
617,바르다가 사랑한 얼굴들,0
618,류이치 사카모토: 코다,0
619,여중생A,0
620,아일라,0
621,미드나잇 선,0
622,더 펜션,0
623,개들의 섬,0
624,유니콘 원정대: 비밀의 다이어리,0
625,마녀,0
626,허스토리,0
627,빅샤크: 매직체인지,0
628,시카리오: 데이 오브 솔다도,0
629,앤트맨과 와스프,0
630,변산,0
631,드래곤 프린세스,0
632,스카이스크래퍼,0
633,"오늘 밤, 로맨스 극장에서",0
634,킬링 디어,0
635,꼬마 보트 토토: 타요 타요 배 타요,0
636,속닥속닥,0
637,인크레더블 2,0
638,호텔 아르테미스,0
639,이별의 아침에 약속의 꽃을 장식하자,1
640,신은 죽지 않았다 3: 어둠 속의 빛,1
641,미션 임파서블: 폴아웃,1
642,신비아파트: 금빛 도깨비와 비밀의 동굴,1
643,인랑,1
644,해적왕 작스톰,1
645,어느 가족,1
646,신과함께-인과 연,1
647,극장판 헬로카봇 : 백악기 시대,1
648,더 스퀘어,1
649,맘마미아!2,1
650,공작,1
651,몬스터 호텔 3,1
652,명탐정 코난 : 제로의 집행인,1
653,메가로돈,0
654,목격자,0
655,극장판 도라에몽: 진구의 보물섬,0
656,플로이,0
657,나를 차버린 스파이,0
658,너의 결혼식,0
659,마일22,0
660,서치,4
661,상류사회,4
662,업그레이드,5
663,어드리프트:우리가 함께한 바다,5
664,양말요정 휴고의 대모험,5
665,물괴,6
666,더 프레데터,6
667,바니부기: 드래곤 에그를 찾아서,6
668,더 게스트,6
669,타샤 튜더,6
670,죄 많은 소녀,6
671,더 넌,3
672,협상,3
673,명당,3
674,안시성,3
675,극장판 뽀잉: 슈퍼 변신의 비밀,2
676,루이스,2
677,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,2
678,체실 비치에서,2
679,에그엔젤 코코밍: 두근두근 핼러윈 파티,2
680,원더풀 고스트,2
681,파이널 포트레이트,1
682,암수살인,0
683,베놈,0
684,곰돌이 푸 다시 만나 행복해,0
685,셜록 놈즈,0
686,스타 이즈 본,0
687,극장판 가면라이더 이그제이드: 트루 엔딩,0
688,리즈와 파랑새,0
689,다이노 어드벤처2: 육해공 공룡 대백과,0
690,노크: 초대받지 않은 손님,0
691,미쓰백,0
692,에브리데이,0
693,킨: 더 비기닝,0
694,퍼스트맨,0
695,펭귄 하이웨이,0
696,배반의 장미,0
697,액슬,0
698,창궐,0
699,윌리,0
700,크레이지 리치 아시안,0
701,완벽한 타인,0
702,바울,0
703,보헤미안 랩소디,0
704,벽 속에 숨은 마법시계,0
705,할로윈,0
706,나츠메 우인장: 세상과 연을 맺다,0
707,폴란드로 간 아이들,0
708,캡틴 스터비,0
709,구스범스: 몬스터의 역습,0
710,동네사람들,0
711,알리바이 닷 컴,0
712,박물관이 진짜 살아있다,0
713,여곡성,0
714,신비한 동물들과 그린델왈드의 범죄,0
715,출국,0
716,번 더 스테이지: 더 무비,0
717,너의 췌장을 먹고 싶어_20186822,0
718,로빈슨의 언더워터 어드벤처,0
719,해피 투게더,0
720,성난황소,0
721,베일리 어게인,0
722,꼬마비행기 피티와 친구들:사막구출 대작전,0
723,툴리,0
724,캡틴 샤키,0
725,국가부도의 날,1
726,거미줄에 걸린 소녀,1
727,후드,1
728,투 프렌즈,1
729,모털 엔진,1
730,런닝맨 : 풀룰루의 역습,1
731,도어락,1
732,호두까기 인형과 4개의 왕국,1
733,번개맨의 비밀,1
734,헌터 킬러,1
735,트와이스랜드,1
736,스파이더맨: 뉴 유니버스,1
737,모어 댄 블루,1
738,부탁 하나만 들어줘,1
739,엘리엇과 산타 썰매단,1
740,스윙키즈,0
741,마약왕,0
742,아쿠아맨,0
743,그린치,0
744,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,0
745,극장판 포켓몬스터 모두의 이야기,0
746,범블비,0
747,점박이 한반도의 공룡2 : 새로운 낙원,0
748,PMC: 더 벙커,0
