,movieCd,movieNm,point,viewer
1819,20124061,두 번의 결혼식과 한 번의 장례식,8.09,"51,120 명"
1838,20113821,더 레이븐,미국,"153,581 명"
1839,20125916,두 개의 달,"미국, 한국","426,706 명"
1848,20112443,두 개의 문,5.17,"73,807 명"
1849,20124062,연가시,7.18,"4,516,063 명"
1865,20126686,미드나잇 인 파리,8.54,"377,360 명"
1866,20126410,헤이와이어,6.75,"54,874 명"
1933,20113391,나는 공무원이다,6.13,"217,866 명"
1935,20126745,리미트리스,8.19,"121,538 명"
1936,20126470,베스트 엑조틱 메리골드 호텔,"미국, 영국","56,584 명"
1939,20127211,스트리트 댄스 2: 라틴배틀,6.91,"39,394 명"
2000,20112703,다크 나이트 라이즈,9.02,"6,399,303 명"
2003,20124058,5백만불의 사나이,4.99,"104,736 명"
2005,20127306,명탐정 코난: 11번째 스트라이커,8.62,"525,169 명"
2019,20124034,도둑들,7.62,"12,984,692 명"
2062,20126667,아이스 에이지 4: 대륙 이동설,8.24,"1,648,110 명"
2064,20124349,무서운 이야기,5.80,"97,804 명"
2066,20124067,바람과 함께 사라지다,7.59,"4,909,950 명"
2067,20127266,극장판 도라에몽: 진구와 기적의 섬 애니멀 어드벤처,8.35,"165,640 명"
2079,20126406,새미의 어드벤쳐 2,8.62,"1,457,406 명"
2089,20113486,케빈에 대하여,8.36,"47,245 명"
2099,20128626,서태지 8집: 398일의 기록,8.36,"5,326 명"
2117,20124080,나는 왕이로소이다,7.42,"790,181 명"
2137,20127407,피라냐 3DD,4.84,"74,586 명"
2144,20127086,락 오브 에이지,7.55,"90,926 명"
2189,20127630,그레이브 인카운터,5.77,413 명
2206,20127887,빌리와 용감한 녀석들 3D,7.36,"299,691 명"
2208,20124049,R2B: 리턴투베이스,7.50,"1,201,944 명"
2219,20128530,아메리칸 파이: 19금 동창회,8.11,"15,431 명"
2237,20126448,스텝업4 : 레볼루션,8.78,"953,890 명"
2269,20125647,토탈 리콜,7.28,"1,219,637 명"
2328,20125920,이웃사람,7.52,"2,434,435 명"
2356,20128272,레드라이트,"불가리아, 크로아티아","49,925 명"
2398,20128588,"그 시절, 우리가 좋아했던 소녀",일본,"46,745 명"
2411,20124063,공모자들,7.01,"1,646,142 명"
2417,20125346,벨 아미,6.62,"30,373 명"
2423,20125338,링컨: 뱀파이어 헌터,6.79,"345,175 명"
2426,20128271,577 프로젝트,8.21,"96,080 명"
2429,20124046,미운오리새끼,8.70,"45,454 명"
2490,20126409,본 레거시,7.12,"1,015,832 명"
2492,20128143,익스펜더블 2,7.70,"444,456 명"
2496,20124934,피에타,7.80,"603,283 명"
2519,20128707,웨딩스캔들,5.45,"21,295 명"
2559,20124079,"광해, 왕이 된 남자",9.24,"12,324,062 명"
2561,20127401,레지던트 이블 5 : 최후의 심판,5.85,"558,443 명"
2568,20127494,늑대아이,9.12,"339,855 명"
2569,20127446,인시디어스,6.82,"554,535 명"
2631,20124400,간첩,7.17,"1,310,895 명"
2637,20129092,테드: 황금도시 파이티티를 찾아서,7.91,"206,320 명"
2638,20129046,럼 다이어리,6.08,"12,685 명"
2639,20125306,런던 블러바드,5.86,"16,977 명"
2677,20113887,점쟁이들,5.82,"953,682 명"
2687,20129407,로우리스: 나쁜 영웅들,7.87,"66,504 명"
2700,20128447,테이큰 2,6.99,"2,308,646 명"
